channel,message_id,subscribers,channel_type,published_at,checkpoint_min,measured_at,actual_age_min,views,reactions,forwards,source
eghtesadonline,354011,75239,economy,2026-08-01T12:14:04+00:00,10,2026-08-01T12:25:26.533042+00:00,11.23,1123,2,6,telegram
eghtesadonline,354011,75239,economy,2026-08-01T12:14:04+00:00,20,2026-08-01T12:37:03.310772+00:00,22.86,1834,2,6,telegram
eghtesadonline,354011,75239,economy,2026-08-01T12:14:04+00:00,1440,2026-08-02T12:50:56.245157+00:00,1476.74,7213,7,11,telegram
tweetychannel,409188,775987,social_entertainment,2026-08-01T12:17:07+00:00,5,2026-08-01T12:22:50.718317+00:00,5.11,2034,32,2,telegram
tweetychannel,409188,775987,social_entertainment,2026-08-01T12:17:07+00:00,20,2026-08-01T12:38:34.146657+00:00,21.12,5086,53,36,telegram
tweetychannel,409188,775987,social_entertainment,2026-08-01T12:17:07+00:00,1440,2026-08-02T12:51:00.435993+00:00,1473.69,16164,152,123,telegram
varzesh3,298648,1296734,sport,2026-08-01T12:19:56+00:00,5,2026-08-01T12:25:24.955671+00:00,5.37,11410,0,1,telegram
varzesh3,298648,1296734,sport,2026-08-01T12:19:56+00:00,30,2026-08-01T12:50:18.874815+00:00,30.27,39497,0,1,telegram
varzesh3,298648,1296734,sport,2026-08-01T12:19:56+00:00,1440,2026-08-02T12:51:17.118556+00:00,1470.88,182613,0,90,telegram
digiato,110963,111086,technology,2026-08-01T12:20:15+00:00,5,2026-08-01T12:25:20.168715+00:00,5.05,561,8,1,telegram
digiato,110963,111086,technology,2026-08-01T12:20:15+00:00,30,2026-08-01T12:51:32.510593+00:00,31.26,1685,20,2,telegram
digiato,110963,111086,technology,2026-08-01T12:20:15+00:00,1440,2026-08-02T12:51:15.647181+00:00,1470.56,8288,52,7,telegram
tweetychannel,409189,775987,social_entertainment,2026-08-01T12:21:08+00:00,5,2026-08-01T12:28:35.854307+00:00,5.51,2053,15,35,telegram
tweetychannel,409189,775987,social_entertainment,2026-08-01T12:21:08+00:00,30,2026-08-01T12:51:43.330133+00:00,30.38,6102,30,35,telegram
tweetychannel,409189,775987,social_entertainment,2026-08-01T12:21:08+00:00,1440,2026-08-02T12:51:24.120246+00:00,1469.68,16961,68,36,telegram
tweetychannel,409190,775987,social_entertainment,2026-08-01T12:21:08+00:00,5,2026-08-01T12:28:35.854281+00:00,5.51,2050,0,1,telegram
tweetychannel,409190,775987,social_entertainment,2026-08-01T12:21:08+00:00,30,2026-08-01T12:51:43.330118+00:00,30.38,6105,0,35,telegram
tweetychannel,409190,775987,social_entertainment,2026-08-01T12:21:08+00:00,1440,2026-08-02T12:51:22.715210+00:00,1469.68,17359,0,36,telegram
tweetychannel,409191,775987,social_entertainment,2026-08-01T12:21:08+00:00,5,2026-08-01T12:28:35.854251+00:00,5.51,2056,0,35,telegram
tweetychannel,409191,775987,social_entertainment,2026-08-01T12:21:08+00:00,30,2026-08-01T12:51:43.330102+00:00,30.38,6107,0,35,telegram
tweetychannel,409191,775987,social_entertainment,2026-08-01T12:21:08+00:00,1440,2026-08-02T12:51:21.298092+00:00,1469.68,17987,0,36,telegram
tweetychannel,409192,775987,social_entertainment,2026-08-01T12:21:08+00:00,5,2026-08-01T12:28:35.854202+00:00,5.51,2056,0,1,telegram
tweetychannel,409192,775987,social_entertainment,2026-08-01T12:21:08+00:00,30,2026-08-01T12:51:43.330084+00:00,30.38,7108,0,35,telegram
tweetychannel,409192,775987,social_entertainment,2026-08-01T12:21:08+00:00,1440,2026-08-02T12:51:19.959330+00:00,1469.68,19766,0,36,telegram
tweetychannel,409193,775987,social_entertainment,2026-08-01T12:21:08+00:00,5,2026-08-01T12:28:35.853382+00:00,5.51,2053,0,35,telegram
tweetychannel,409193,775987,social_entertainment,2026-08-01T12:21:08+00:00,30,2026-08-01T12:51:43.330045+00:00,30.38,6108,0,35,telegram
tweetychannel,409193,775987,social_entertainment,2026-08-01T12:21:08+00:00,1440,2026-08-02T12:51:18.602610+00:00,1469.68,17520,0,36,telegram
varzesh3,298649,1296734,sport,2026-08-01T12:23:12+00:00,30,2026-08-01T12:54:14.565741+00:00,30.93,39437,0,1,telegram
varzesh3,298649,1296734,sport,2026-08-01T12:23:12+00:00,1440,2026-08-02T12:51:25.515802+00:00,1467.61,177651,0,36,telegram
tweetychannel,409194,775987,social_entertainment,2026-08-01T12:24:00+00:00,10,2026-08-01T12:37:08.780550+00:00,12.92,4079,3,0,telegram
tweetychannel,409194,775987,social_entertainment,2026-08-01T12:24:00+00:00,30,2026-08-01T12:54:20.803323+00:00,30.13,6116,4,0,telegram
tweetychannel,409194,775987,social_entertainment,2026-08-01T12:24:00+00:00,1440,2026-08-02T12:51:26.923094+00:00,1466.81,15702,7,1,telegram
varzesh3,298650,1296729,sport,2026-08-01T12:26:40+00:00,10,2026-08-01T12:37:01.841448+00:00,10.26,14572,0,0,telegram
varzesh3,298650,1296729,sport,2026-08-01T12:26:40+00:00,30,2026-08-01T12:56:51.702258+00:00,30.09,39439,0,0,telegram
varzesh3,298650,1296729,sport,2026-08-01T12:26:40+00:00,1440,2026-08-02T12:51:29.672204+00:00,1464.14,189794,0,2,telegram
tweetychannel,409195,775970,social_entertainment,2026-08-01T12:26:51+00:00,10,2026-08-01T12:37:08.780519+00:00,10.07,4076,211,105,telegram
tweetychannel,409195,775970,social_entertainment,2026-08-01T12:26:51+00:00,30,2026-08-01T12:58:16.017086+00:00,31.2,7134,381,173,telegram
tweetychannel,409195,775970,social_entertainment,2026-08-01T12:26:51+00:00,1440,2026-08-02T12:51:43.608590+00:00,1463.96,19230,786,314,telegram
varzesh3,298651,1296729,sport,2026-08-01T12:27:23+00:00,10,2026-08-01T12:38:27.929163+00:00,10.86,15605,0,1,telegram
varzesh3,298651,1296729,sport,2026-08-01T12:27:23+00:00,20,2026-08-01T12:50:18.874653+00:00,22.82,32202,0,1,telegram
varzesh3,298651,1296729,sport,2026-08-01T12:27:23+00:00,30,2026-08-01T12:58:09.860485+00:00,30.67,41505,0,1,telegram
varzesh3,298651,1296729,sport,2026-08-01T12:27:23+00:00,1440,2026-08-02T12:51:28.307010+00:00,1463.43,201483,0,47,telegram
eghtesadonline,354012,75239,economy,2026-08-01T12:27:50+00:00,10,2026-08-01T12:38:29.448145+00:00,10.41,901,2,9,telegram
eghtesadonline,354012,75239,economy,2026-08-01T12:27:50+00:00,20,2026-08-01T12:50:20.462452+00:00,22.37,1768,5,13,telegram
eghtesadonline,354012,75239,economy,2026-08-01T12:27:50+00:00,30,2026-08-01T12:58:11.312819+00:00,30.22,2323,9,13,telegram
eghtesadonline,354012,75239,economy,2026-08-01T12:27:50+00:00,1440,2026-08-02T12:51:31.095424+00:00,1462.98,7297,29,18,telegram
tweetychannel,409196,775970,social_entertainment,2026-08-01T12:29:08+00:00,5,2026-08-01T12:37:08.780487+00:00,7.79,3052,18,36,telegram
tweetychannel,409196,775970,social_entertainment,2026-08-01T12:29:08+00:00,10,2026-08-01T12:39:54.868598+00:00,10.53,3059,24,70,telegram
tweetychannel,409196,775970,social_entertainment,2026-08-01T12:29:08+00:00,20,2026-08-01T12:50:24.968150+00:00,21.07,5093,34,104,telegram
tweetychannel,409196,775970,social_entertainment,2026-08-01T12:29:08+00:00,30,2026-08-01T12:59:34.372726+00:00,30.23,7106,40,138,telegram
tweetychannel,409196,775970,social_entertainment,2026-08-01T12:29:08+00:00,1440,2026-08-02T12:51:42.200076+00:00,1461.68,18988,122,440,telegram
tweetychannel,409197,775970,social_entertainment,2026-08-01T12:29:19+00:00,5,2026-08-01T12:37:08.780341+00:00,7.61,3055,180,70,telegram
tweetychannel,409197,775970,social_entertainment,2026-08-01T12:29:19+00:00,10,2026-08-01T12:39:54.868122+00:00,10.35,3063,202,70,telegram
tweetychannel,409197,775970,social_entertainment,2026-08-01T12:29:19+00:00,20,2026-08-01T12:50:24.968117+00:00,20.89,6100,277,71,telegram
tweetychannel,409197,775970,social_entertainment,2026-08-01T12:29:19+00:00,30,2026-08-01T12:59:34.372699+00:00,30.05,7115,314,105,telegram
tweetychannel,409197,775970,social_entertainment,2026-08-01T12:29:19+00:00,1440,2026-08-02T12:51:40.861919+00:00,1461.49,18493,671,201,telegram
persiantwix,9510,1051353,entertainment,2026-08-01T12:30:00+00:00,5,2026-08-01T12:37:06.728546+00:00,6.92,2942,307,5,telegram
persiantwix,9510,1051353,entertainment,2026-08-01T12:30:00+00:00,20,2026-08-01T12:50:23.407959+00:00,20.2,5384,589,25,telegram
persiantwix,9510,1051353,entertainment,2026-08-01T12:30:00+00:00,30,2026-08-01T13:00:50.958349+00:00,30.67,6610,715,25,telegram
persiantwix,9510,1051353,entertainment,2026-08-01T12:30:00+00:00,1440,2026-08-02T12:51:32.660434+00:00,1460.81,40242,2492,92,telegram
tweetychannel,409198,775970,social_entertainment,2026-08-01T12:33:01+00:00,5,2026-08-01T12:38:34.146584+00:00,5.22,1024,1,0,telegram
tweetychannel,409198,775970,social_entertainment,2026-08-01T12:33:01+00:00,20,2026-08-01T12:54:20.803223+00:00,21.11,5081,2,0,telegram
tweetychannel,409198,775970,social_entertainment,2026-08-01T12:33:01+00:00,30,2026-08-01T13:03:28.808484+00:00,30.25,6086,2,0,telegram
tweetychannel,409199,775970,social_entertainment,2026-08-01T12:33:01+00:00,5,2026-08-01T12:38:34.146572+00:00,5.22,1022,0,0,telegram
tweetychannel,409199,775970,social_entertainment,2026-08-01T12:33:01+00:00,20,2026-08-01T12:54:20.803205+00:00,21.11,5083,0,0,telegram
tweetychannel,409199,775970,social_entertainment,2026-08-01T12:33:01+00:00,30,2026-08-01T13:03:28.808466+00:00,30.25,6087,0,0,telegram
tweetychannel,409199,775970,social_entertainment,2026-08-01T12:33:01+00:00,1440,2026-08-02T12:51:38.141159+00:00,1457.79,17334,0,0,telegram
tweetychannel,409200,775970,social_entertainment,2026-08-01T12:33:01+00:00,5,2026-08-01T12:38:34.146559+00:00,5.22,1023,0,0,telegram
tweetychannel,409200,775970,social_entertainment,2026-08-01T12:33:01+00:00,20,2026-08-01T12:54:20.803186+00:00,21.11,5082,0,0,telegram
tweetychannel,409200,775970,social_entertainment,2026-08-01T12:33:01+00:00,30,2026-08-01T13:03:28.808445+00:00,30.25,6091,0,0,telegram
tweetychannel,409200,775970,social_entertainment,2026-08-01T12:33:01+00:00,1440,2026-08-02T12:51:36.788728+00:00,1457.79,18397,0,0,telegram
tweetychannel,409201,775970,social_entertainment,2026-08-01T12:33:01+00:00,5,2026-08-01T12:38:34.146543+00:00,5.22,1026,0,0,telegram
tweetychannel,409201,775970,social_entertainment,2026-08-01T12:33:01+00:00,20,2026-08-01T12:54:20.803162+00:00,21.11,5087,0,0,telegram
tweetychannel,409201,775970,social_entertainment,2026-08-01T12:33:01+00:00,30,2026-08-01T13:03:28.808423+00:00,30.25,6095,0,0,telegram
tweetychannel,409201,775970,social_entertainment,2026-08-01T12:33:01+00:00,1440,2026-08-02T12:51:35.428583+00:00,1457.79,20476,0,0,telegram
tweetychannel,409202,775970,social_entertainment,2026-08-01T12:33:01+00:00,5,2026-08-01T12:38:34.146461+00:00,5.22,1023,0,0,telegram
tweetychannel,409202,775970,social_entertainment,2026-08-01T12:33:01+00:00,20,2026-08-01T12:54:20.802606+00:00,21.11,5085,0,0,telegram
tweetychannel,409202,775970,social_entertainment,2026-08-01T12:33:01+00:00,30,2026-08-01T13:03:28.808326+00:00,30.25,6095,0,0,telegram
tweetychannel,409202,775970,social_entertainment,2026-08-01T12:33:01+00:00,1440,2026-08-02T12:51:34.067745+00:00,1457.79,18335,0,0,telegram
tweetychannel,409203,775970,social_entertainment,2026-08-01T12:38:12+00:00,10,2026-08-01T12:50:24.967917+00:00,12.0,4074,92,35,telegram
tweetychannel,409203,775970,social_entertainment,2026-08-01T12:38:12+00:00,20,2026-08-01T12:59:34.371351+00:00,21.16,5092,114,35,telegram
tweetychannel,409203,775970,social_entertainment,2026-08-01T12:38:12+00:00,30,2026-08-01T13:08:42.168125+00:00,30.3,6097,131,35,telegram
